Unique Facility ID,Status,Name,Type,Plant Name,Current Operator,Original Operator,Co-Owner,Constructed Date,Activated Date,Field Name,Latitude,Longitude,Licensed Capacity of Raw Gas(Mcf/d),Licensed Capacity of Sales Gas(Mcf/d),Licensed Capacity of Oil(Bbl/d),Licensed Capacity of Ethane(C2)(Bbl/d),Licensed Capacity of Ethane Plus(C2+)(Bbl/d),Licensed Capacity of Propane(C3)(Bbl/d),Licensed Capacity of Butane(C4)(Bbl/d),Licensed Capacity of Pentane Plus(C5+)(Bbl/d),Licensed Capacity of NGL(Bbl/d),Licensed Capacity of LPG(Bbl/d),Licensed Capacity of Sulphur(ton/d),Design Capacity of Raw Gas(Mcf/d),Design Capacity of Sales Gas(Mcf/d),Design Capacity of Oil(Bbl/d),Design Capacity of Ethane(C2)(Bbl/d),Design Capacity of Ethane Plus(C2+)(Bbl/d),Design Capacity of Propane(C3)(Bbl/d),Design Capacity of Butane(C4)(Bbl/d),Design Capacity of Pentane Plus(C5+)(Bbl/d),Design Capacity of NGL(Bbl/d),Design Capacity of LPG(Bbl/d),Design Capacity of Sulphur(ton/d),Raw Gas(Mcf/d),Sales Gas(Mcf/d),Ethane(C2)(Bbl/d),Ethane Plus(C2+)(Bbl/d),Propane(C3)(Bbl/d),Butane(C4)(Bbl/d),Pentane Plus(C5+)(Bbl/d),Natural Gas Liquids(Bbl/d),Liquefied Petroleum Gas(Bbl/d),Sulphur(ton/d),Sub Type,Location,Date,Raw Gas(Mcf/d).1,Sales Gas(Mcf/d).1,Injection(Mcf/d),Shrinkage(Mcf/d),Fuel(Mcf/d),Flared(Mcf/d),Other(Mcf/d),Oil(SK)(Bbl/d),Methane Plus(C1+)(SK)(Bbl/d),Ethane(C2)(Bbl/d).1,Ethane Plus(C2+)(Bbl/d).1,Propane(C3)(Bbl/d).1,Propane Plus(C3+)(SK)(Bbl/d),Butane(C4)(Bbl/d).1,Butane Plus(C4+)(SK)(Bbl/d),Pentane(C5)(SK)(Bbl/d),Pentane Plus(C5+)(Bbl/d).1,Natural Gas Liquids(Bbl/d).1,Sulphur(ton/d).1,Receipts of Oil(SK)(Bbl/d),Receipts of Ethane(C2)(SK)(Bbl/d),Receipts of Ethane Plus(C2+)(SK)(Bbl/d),Receipts of Propane(C3)(SK)(Bbl/d),Receipts of Propane Plus(C3+)(SK)(Bbl/d),Receipts of Butane(C4)(SK)(Bbl/d),Receipts of Butane Plus(C4+)(SK)(Bbl/d),Receipts of Pentane(C5)(SK)(Bbl/d),Receipts of Pentane Plus(C5+)(SK)(Bbl/d),Oil Production(Bbl/d),Oil Received(Bbl/d),Oil Open Inventory(Bbl/d),Oil Close Inventory(Bbl/d),Oil Delivered(Bbl/d),Gas Production(Mcf/d),Gas Received(Mcf/d),Lease Fuel(Mcf/d),Gas Flared(Mcf/d),Gas Vented(Mcf/d),Gas Meter Diff(Mcf/d),Gas Delivered(Mcf/d),Water Production(Bbl/d),Water Received(Bbl/d),Water Open Inventory(Bbl/d),Water Close Inventory(Bbl/d),Water Meter Diff(Bbl/d),Water Delivered(Bbl/d)
ABGP0001242,Active,BEI CHIP LAKE 10-29,GP,Chip Lake,WEST 5 RESOURCES INC.,,100.0% - WEST 5 RESOURCES INC.,,,,53.60848 deg N,115.43573 deg W,4767.48,4484.96,,,,,,,,232.84,,5968.18,5615.03,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1047.43,852.97,0.0,0.0,0.0,0.0,11.77,27.27,,0.0,Gas Plant Sweet,10-29-053-10W5M,2021-06-01,1047.43,852.97,0.0,48.97,151.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001232,Suspended,APACHE PROVOST,GP,Choice,KARVE ENERGY INC.,,94.0% - BATTLE RIVER ENERGY LTD.,,,,52.44676 deg N,111.27331 deg W,12360.13,12006.99,,,,,,6.29,,,,5297.2,4944.05,0.0,35.49,,0.76,0.76,0.76,0.0,,0.0,1262.26,1138.78,0.0,0.0,0.0,0.0,2.94,0.0,,0.0,Gas Plant Acid Gas Flaring < 1 T/d Sulphur,13-17-040-09W4M,2009-06-01,1262.26,1138.78,0.0,3.41,115.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0086359,Suspended,ARGOSY CLARESHOLM GAS PLANT,GP,Claresholm,LONG TERM ASSET MANAGEMENT INC.,,100.0% - LONG TERM ASSET MANAGEMENT INC.,,,,49.98818 deg N,113.43904 deg W,9994.05,9895.17,,0.0,0.0,0.0,0.0,38.39,,0.0,0.0,9888.11,9888.11,0.0,0.0,,0.0,0.0,0.0,157.32,,0.0,1644.65,1520.17,0.0,0.0,0.0,0.0,11.42,23.33,,0.0,Gas Plant Sweet,16-11-012-26W4M,2017-02-01,1644.65,1520.17,0.0,42.88,115.53,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001744,Suspended,COPAREX CLAYHURST GAS PLANT,GP,Clayhurst,DISTINCTION ENERGY CORP.,,100.0% - TIDEWATER MIDSTREAM AND INFRASTRUCTURE LTD.,1996-01-01,,,56.19828 deg N,118.65631 deg W,9994.05,,,,,,,,,,,7239.51,6956.99,0.0,0.0,,0.0,0.0,0.0,6.29,,0.0,316.07,285.04,0.0,0.0,0.0,0.0,0.0,2.07,,0.0,Gas Plant Sweet,12-13-083-05W6M,2013-02-01,316.07,285.04,0.0,2.52,28.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001880,Active,CLEAR HILLS BNDYLKS 16-11-88-13W6,GP,Clear Hills,CANADIAN NATURAL RESOURCES LIMITED,,100.0% - CANADIAN NATURAL RESOURCES LIMITED,,,,56.62271 deg N,119.94652 deg W,100014.66,97998.19,,,,,,176.83,,792.9,,79599.25,79599.25,,,,,,,,,,23217.27,23437.99,0.0,0.0,0.0,0.0,3.15,234.05,,0.0,Gas Plant Sulphur Recovery,16-11-088-13W6M,2021-06-01,23217.27,23437.99,146.56,311.48,530.66,56.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,234.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0088508,Suspended,CLEAR PRAIRIE,GP,Clear Prairie,ALTAGAS LTD.,,100.0% - ALTAGAS LTD.,2006-01-01,,,56.84815 deg N,119.84674 deg W,15008.73,14899.26,,0.0,0.0,0.0,0.0,0.0,,102.57,,3651.89,3441.41,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1007.83,879.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,07-33-090-12W6M,2016-03-01,1007.83,879.9,0.0,0.0,106.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001317,Suspended,OPAL CLIVE,GP,Clive Refrigeration,EMBER RESOURCES INC.,,100.0% - EMBER RESOURCES INC.,1988-01-01,,,52.45405 deg N,113.33038 deg W,6003.49,5968.18,,0.0,0.0,0.0,0.0,0.0,,56.01,,6709.79,6003.49,0.0,1006.86,,188.79,31.46,31.46,12.59,,0.0,275.68,275.34,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,06-24-040-24W4M,2012-12-01,275.68,275.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001443,Suspended,CONOCO WESTLOCK,GP,Clyde,PARAMOUNT RESOURCES LTD.,,100.0% - PARAMOUNT RESOURCES LTD.,1980-01-01,,,54.09185 deg N,113.63487 deg W,21082.85,,,,,,,,,,,7062.93,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,490.19,424.35,0.0,0.0,0.0,0.0,0.55,0.0,,0.0,Gas Plant Acid Gas Flaring < 1 T/d Sulphur,15-11-059-25W4M,2018-07-01,490.19,424.35,0.0,0.68,0.0,46.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001903,Active,COCHRANE EXTRACTION PLANT,GP,Cochrane Straddle Plant,INTER PIPELINE EXTRACTION LTD.,,100.0% - INTER PIPELINE LTD.,1970-01-01,,,51.22509 deg N,114.49303 deg W,2487917.97,2487917.97,,79925.74,0.0,0.0,0.0,0.0,,39959.72,,2499999.82,0.0,0.0,65024.23,,33012.4,0.0,0.0,0.0,,0.0,2192456.55,2047143.66,46269.46,0.0,0.0,0.0,0.0,32583.14,,0.0,Gas Plant Mainline Straddle,16-16-026-04W5M,2021-06-01,2192456.55,2047143.66,0.0,120919.05,23516.98,68.28,0.0,0.0,0.0,46269.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32583.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001051,Active,DEVON SAVANNA CREEK,GP,Coleman,CANADIAN NATURAL RESOURCES LIMITED,,100.0% - CANADIAN NATURAL RESOURCES LIMITED,1961-01-01,,,49.62787 deg N,114.56868 deg W,99269.52,72112.54,,0.0,0.0,0.0,0.0,44.05,,0.0,870.16,77091.91,76985.96,0.0,0.0,,0.0,0.0,0.0,0.0,,771.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,191.91,Gas Plant Sulphur Recovery,01-11-008-05W5M,2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
