Unique Facility ID,Status,Name,Type,Plant Name,Current Operator,Original Operator,Co-Owner,Constructed Date,Activated Date,Field Name,Latitude,Longitude,Licensed Capacity of Raw Gas(Mcf/d),Licensed Capacity of Sales Gas(Mcf/d),Licensed Capacity of Oil(Bbl/d),Licensed Capacity of Ethane(C2)(Bbl/d),Licensed Capacity of Ethane Plus(C2+)(Bbl/d),Licensed Capacity of Propane(C3)(Bbl/d),Licensed Capacity of Butane(C4)(Bbl/d),Licensed Capacity of Pentane Plus(C5+)(Bbl/d),Licensed Capacity of NGL(Bbl/d),Licensed Capacity of LPG(Bbl/d),Licensed Capacity of Sulphur(ton/d),Design Capacity of Raw Gas(Mcf/d),Design Capacity of Sales Gas(Mcf/d),Design Capacity of Oil(Bbl/d),Design Capacity of Ethane(C2)(Bbl/d),Design Capacity of Ethane Plus(C2+)(Bbl/d),Design Capacity of Propane(C3)(Bbl/d),Design Capacity of Butane(C4)(Bbl/d),Design Capacity of Pentane Plus(C5+)(Bbl/d),Design Capacity of NGL(Bbl/d),Design Capacity of LPG(Bbl/d),Design Capacity of Sulphur(ton/d),Raw Gas(Mcf/d),Sales Gas(Mcf/d),Ethane(C2)(Bbl/d),Ethane Plus(C2+)(Bbl/d),Propane(C3)(Bbl/d),Butane(C4)(Bbl/d),Pentane Plus(C5+)(Bbl/d),Natural Gas Liquids(Bbl/d),Liquefied Petroleum Gas(Bbl/d),Sulphur(ton/d),Sub Type,Location,Date,Raw Gas(Mcf/d).1,Sales Gas(Mcf/d).1,Injection(Mcf/d),Shrinkage(Mcf/d),Fuel(Mcf/d),Flared(Mcf/d),Other(Mcf/d),Oil(SK)(Bbl/d),Methane Plus(C1+)(SK)(Bbl/d),Ethane(C2)(Bbl/d).1,Ethane Plus(C2+)(Bbl/d).1,Propane(C3)(Bbl/d).1,Propane Plus(C3+)(SK)(Bbl/d),Butane(C4)(Bbl/d).1,Butane Plus(C4+)(SK)(Bbl/d),Pentane(C5)(SK)(Bbl/d),Pentane Plus(C5+)(Bbl/d).1,Natural Gas Liquids(Bbl/d).1,Sulphur(ton/d).1,Receipts of Oil(SK)(Bbl/d),Receipts of Ethane(C2)(SK)(Bbl/d),Receipts of Ethane Plus(C2+)(SK)(Bbl/d),Receipts of Propane(C3)(SK)(Bbl/d),Receipts of Propane Plus(C3+)(SK)(Bbl/d),Receipts of Butane(C4)(SK)(Bbl/d),Receipts of Butane Plus(C4+)(SK)(Bbl/d),Receipts of Pentane(C5)(SK)(Bbl/d),Receipts of Pentane Plus(C5+)(SK)(Bbl/d),Oil Production(Bbl/d),Oil Received(Bbl/d),Oil Open Inventory(Bbl/d),Oil Close Inventory(Bbl/d),Oil Delivered(Bbl/d),Gas Production(Mcf/d),Gas Received(Mcf/d),Lease Fuel(Mcf/d),Gas Flared(Mcf/d),Gas Vented(Mcf/d),Gas Meter Diff(Mcf/d),Gas Delivered(Mcf/d),Water Production(Bbl/d),Water Received(Bbl/d),Water Open Inventory(Bbl/d),Water Close Inventory(Bbl/d),Water Meter Diff(Bbl/d),Water Delivered(Bbl/d)
ABGP0001756,Suspended,AEC WEST HYTHE 14-18,GP,Aec West Hythe,ENCANA WESTERN RESOURCES LTD.,,100.0% - VERESEN MIDSTREAM GENERAL PARTNER INC.,,,,55.41237,119.83645,336937.19,312146.3,,0.0,0.0,0.0,0.0,1903.59,,6083.95,463.85,,,,,,,,,,,,1996.37,2096.11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,11-18-074-12W6M,2000-02-01,1996.37,2096.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
BCGP0000559,Cancelled,WESTCOAST AITKENCREEK D-044-L/094-A-13 005,GP,Aitken Creek Gas Storage,WESTCOAST ENERGY INC.,,100.0% - WESTCOAST ENERGY INC.,,,,56.95407,121.92022,82035.96,78045.4,,,,,,,,,0.34,98881.05,98881.05,,,,,,,,,,10559.54,10003.73,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,D-044-L 094-A-13,2021-01-01,10559.54,10003.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001972,Abandoned,CONOCO AKUINU,GP,Akuinu River West,PARAMOUNT RESOURCES LTD.,,100.0% - PARAMOUNT RESOURCES LTD.,1/1/1997,,,54.65245,114.52788,19917.47,,,,,,,,,,,14125.86,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,689.09,386.52,0.0,0.0,0.0,0.0,0.06,0.0,,0.0,Gas Plant Acid Gas Flaring < 1 T/d Sulphur,05-27-065-04W5M,2012-03-01,689.09,386.52,0.0,9.91,257.57,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0082962,Suspended,ALBERS 8-23-41-7W4 GAS PLANT,GP,Albers,OVINTIV CANADA ULC,,100.0% - SANLING ENERGY LTD.,,,,52.54129,110.89575,9948.14,9711.53,,0.0,0.0,0.0,0.0,8.18,,0.0,0.0,,,,,,,,,,,,3.29,1.34,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,08-23-041-07W4M,2008-02-01,3.29,1.34,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001651,Active,ALDER 10-9-45-8W5,GP,Alder Flats,CENOVUS ENERGY INC.,,9.0% - TAQA NORTH LTD.; 20.0% - BELLATRIX EXPLORATION LTD.; 70.0% - CENOVUS ENERGY INC.,1/1/1991,,,52.86763,115.09820,82989.46,80234.91,,0.0,0.0,0.0,0.0,1264.87,,2592.66,,82989.46,79987.71,0.0,509.72,,509.72,509.72,509.72,2108.11,,0.0,51768.35,49553.18,0.0,0.0,0.0,0.0,815.56,1088.96,,0.0,Gas Plant Sweet,10-09-045-08W5M,2021-06-01,51768.35,49553.18,0.0,2474.26,622.01,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.56,1088.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0138158,Active,CENOVUS ALDERSON,GP,Alderson,TORXEN ENERGY LTD.,,100.0% - TORXEN ENERGY LTD.,1/1/1979,,,50.31553,111.96634,6003.49,5473.77,,,,,,,,,,8828.67,8828.67,7551.44,,,,,,,,,3699.8,3430.23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Acid Gas Flaring < 1 T/d Sulphur,06-02-016-15W4M,2021-06-01,3699.8,3430.23,0.0,0.0,137.73,158.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0077266,Suspended,ALDERSON 13-21-015-11W4 GAS PLANT,GP,Alderson East,TORXEN ENERGY LTD.,,100.0% - OVINTIV CANADA ULC,1/1/1970,,,50.27893,111.46795,32429.45,32312.92,,0.0,0.0,0.0,0.0,28.95,,0.0,0.0,13207.68,13207.68,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6672.59,6429.62,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,13-21-015-11W4M,2009-04-01,6672.59,6429.62,0.0,0.0,186.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001256,Active,PANCDN ALDERSON,GP,Alderson West,TORXEN ENERGY LTD.,,100.0% - TORXEN ENERGY LTD.,1/1/1976,,,50.29005,112.00649,36727.25,,,,,,,,,,,21188.8,21188.8,0.0,0.0,,0.0,0.0,0.0,157.32,,0.0,11758.72,11530.0,0.0,0.0,0.0,0.0,0.0,204.83,,0.0,Gas Plant Sweet,10-28-015-15W4M,2021-06-01,11758.72,11530.0,0.0,271.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0134471,Active,SPARTAN ALEXANDER GAS PLANT,GP,Alexander,VERMILION ENERGY INC.,,,,,,53.81987,113.85883,4000.44,4000.44,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,174.1,83.58,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Acid Gas Flaring < 1 T/d Sulphur,03-07-056-26W4M,2021-06-01,174.1,83.58,0.0,6.0,84.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001737,Active,APACHE NEVIS 6-24,GP,Alix,EMBER RESOURCES INC.,,100.0% - EMBER RESOURCES INC.,,,,52.36675,113.18653,14832.16,,,,,,,,,,,15891.6,15891.6,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,8968.75,8314.72,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,06-24-039-23W4M,2021-06-01,8968.75,8314.72,0.0,0.0,430.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
